X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough
-74.1767785471836,40.6895151478041,1,0.116357453189,0.0007823067885,Newark Airport,1,EWR
-73.826141187548,40.6257250653608,2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens
-73.8494797117996,40.865872048605,3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx
-73.9770238531481,40.7241508237096,4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan
-74.1899382186973,40.5503388087421,5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island
-74.067784415989,40.5990540522729,6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island
-73.9214822351202,40.7610941908167,7,0.107417171123,0.000389787989274,Astoria,7,Queens
-73.9231996351178,40.7786091900538,8,0.0275906911574,2.6587716279e-05,Astoria Park,8,Queens
-73.788019387688,40.754399171435,9,0.0997840924705,0.000338443803197,Auburndale,9,Queens
-73.7916548635917,40.6781018844652,10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens
-74.0106145777981,40.6039781434649,11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn
-74.015489822631,40.7024875740508,12,0.0366613013579,4.1511623673e-05,Battery Park,12,Manhattan
-74.016119676412,40.7116120409705,13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan
-74.0304481021718,40.6235833928851,14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn
-73.7879935355271,40.7852453578965,15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens
-73.7716756284112,40.7612343254116,16,0.141291873771,0.000871889446182,Bayside,16,Queens
-73.949180773692,40.6919912634501,17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn
-73.8869234351293,40.8687686529424,18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx
-73.727896170924,40.7364716742208,19,0.101824875452,0.000546661094782,Bellerose,19,Queens
-73.8860353385252,40.85777309594,20,0.0514401924362,0.000134512633032,Belmont,20,Bronx
-73.9813014192894,40.6020489344534,21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn
-73.9942964016157,40.609626222139,22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn
-74.1593411184408,40.6074284613633,23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island
-73.9655685008179,40.8020326846966,24,0.0469999619287,6.0723573775e-05,Bloomingdale,24,Manhattan
-73.9864596713285,40.6856156764959,25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn
-73.9895605620844,40.6286134091129,26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn
-73.9097817318296,40.5589421136734,27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens
-73.8073148986691,40.7108516062059,28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens
-73.9605803598493,40.5821933711721,29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn
-73.8200979414619,40.6048766987844,30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens
-73.8757213805039,40.8599258834334,31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx
-73.8646243306344,40.8644452005708,32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx
-73.9953288805328,40.6962386836946,33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn
-73.9677011560345,40.7025605301965,34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn
-73.9124714112829,40.663799060608,35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn
-73.9161942746904,40.6988739907157,36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn
-73.9259408152051,40.6962628728162,37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn
-73.7355503356822,40.6933168280706,38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens
-73.8997822566826,40.6388776813529,39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn
-73.99581790866,40.6785035606694,40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn
-73.9520643705523,40.8042043196445,41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan
-73.9395193400941,40.8210432481454,42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan
-73.9655721742261,40.7824596006426,43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan
-74.2295254958276,40.5273168902315,44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island
-73.9982525452979,40.7130584697312,45,0.0459068626235,9.1359468856e-05,Chinatown,45,Manhattan
-73.7864259615609,40.8474694715252,46,0.134475429879,0.000926391677672,City Island,46,Bronx
-73.8969289384912,40.8457548038174,47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx
-73.9898566520191,40.7622366943827,48,0.0437467441431,9.4253842538e-05,Clinton East,48,Manhattan
-73.9649334691936,40.6885144373624,49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn
-73.9938997681529,40.7666918128625,50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan
-73.83041955048,40.8740723627585,51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx
-73.9969227180023,40.6866039903313,52,0.0289076710093,4.520275096e-05,Cobble Hill,52,Brooklyn
-73.8440792356717,40.7819836057419,53,0.161500913385,0.000947530980821,College Point,53,Queens
-74.0030934802706,40.6869905668706,54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn
-73.9904735561227,40.5768972746943,55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn
-73.8590561941745,40.7415985183018,56,0.0568478126677,0.000180907844436,Corona,56,Queens
